University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
University of Wisconsin - Madison (UW),Chemical Engineering,"$29,200",1.28,2020-2021,5th,"$31,000",,,"$1,800",
University of Pennsylvania,Biology,"$32,000",1.33,2020-2021,2nd,"$32,000",,,,
University of Wisconsin - Madison (UW),Computer science,"$29,000",1.27,2020-2021,3rd,"$30,000",,,"$1,000",
University of Texas Health Science Center - Houston,Department of Biostatistics,"$19,000",0.87,2020-2021,1st,"$24,000",,,"$5,000",
Texas Tech University (TTU),Chemistry ,"$21,000",1.04,2020-2021,1st,"$22,000",,,"$1,000",
Albany Medical College,Neuroscience,"$28,000",1.23,2020-2021,1st,"$28,000",,,,Full healthcare/dental
Mayo Medical School,biochemistry and molecular biology,"$32,000",1.41,2020-2021,3rd,"$32,000",,,,
Indiana University,CNS NRT Fellowship,"$34,000",1.58,2020-2021,1st,"$34,000",,,,"This is a two year fellowship. After this first two year I have to find funding or my stipend will be reduced to about 24,000, the minimum in my department."
Mayo Clinic,Biomedical Sciences ,"$33,383",,2020-2021,1st,"$33,383",,,,
University of Pennsylvania,Veterinary medicine,"$-11,500",-0.48,2020-2021,4th,$500,,,"$12,000",
University of Pennsylvania,Veterinary medicine,"$-11,500",-0.48,2020-2021,4th,$500,,,"$12,000",
Carnegie Mellon University (CMU),Civil and Environmental Engineering,"$30,000",1.45,2021-2022,1st,"$30,000",,,,
Syracuse University,English,"$19,400",0.91,2020-2021,6th and up,,"$19,500",,$100,"All PhDs make the same amount, regardless of year in the program; MAs and MFAs make different amounts. We can apply for summer funding from the department, but there are no guarantees and the amount can range from $150-750 (usually). "
Rockhurst University,Communication and Sciences Disorders,"$-15,000",,2021-2022,3rd,"$45,000",,,"$60,000",
Brown University,Engieering,"$25,000",1.10,2020-2021,5th,"$30,000",,,"$5,000",
Brown University,Engieering,"$25,000",1.10,2020-2021,5th,"$30,000",,,"$5,000",
University of Washington (UW),bioenginering,"$35,905",1.54,2020-2021,2nd,"$36,720",,,$815,
Yale University (YU),Astronomy,"$36,000",1.46,2020-2021,1st,"$36,000",,,,
Stony Brook University - SUNY,Chemistry,"$28,200",1.01,2020-2021,,"$30,000",,,"$1,800",
Duke University (DU),history,"$30,800",1.39,2020-2021,1st,,"$24,300","$6,500",,0
Temple University (TU),Computer Science,"$26,300",1.09,2020-2021,5th,"$27,000",,,$700,
Northeastern University (NU),Computer Science,"$39,745",1.39,2020-2021,5th,"$40,000",,,$255,The pay is after PhD candidacy. It would be 37K before candidacy.
University of California - Davis (UCD),Electrical and computer engineering ,"$24,000",1.00,2020-2021,3rd,"$24,000",,,,Roughly $2000 per month for either TA or RA. After tax is around $1700. Most people in this range. 
University of the Pacific (UOP),pharmacy,"$22,000",1.01,2020-2021,,"$22,000",,,,
University of South Florida (UCF),Community and Family Health ,"$24,500",1.12,2020-2021,1st,"$24,500",,,,"COPH Fellowship recipient including full annual stipend, full coverage of fees, full coverage of health insurance, and up to 30 paid credits a year. Good for the first 2 years. "
New York University (NYU),Electrical Engineering,"$36,000",1.21,2020-2021,3rd,"$36,000",,,,
University of Oklahoma (OU),Psychology,"$-2,502",-0.12,2020-2021,2nd,,"$1,498",,"$4,000",
,biomedical engineering,"$45,500",,2020-2021,1st,"$45,500",,,,
Case Western Reserve University,biomedical engineering,"$4,550",0.23,2020-2021,1st,"$4,550",,,,
University of Virginia (UVA),Biology,"$30,500",1.34,2020-2021,1st,"$30,500",,,,
Lehigh University,ECE,"$30,000",1.34,2020-2021,2nd,"$32,000",,,"$2,000",
Emory University,,"$31,000",1.33,2019-2020,,"$31,000",,,,
University of Akron,Polymer Science,"$22,500",1.14,2020-2021,,"$25,000",,,"$2,500",
University of Florida (UF),Physics,"$21,000",0.92,2020-2021,4th,"$23,000",,,"$2,000",
University of Michigan - Ann Arbor (UM),Biostatistics ,"$2,650",0.11,2020-2021,1st,"$2,800",,,$150,
Boston University (BU),Chemistry ,"$35,000",1.22,2020-2021,,"$35,000",,,,
,Electrical engineering,"$24,000",,2020-2021,5th,"$24,000",,,,
Pennsylvania State University (Penn State),Electrical engineering,"$24,000",1.07,2020-2021,5th,"$24,000",,,,
Stanford University (SU),MSE,"$45,888",1.60,2020-2021,2nd,"$45,888",,,,
Clemson University (CU),Mathematical and Statistical Sciences,"$17,300",0.83,2020-2021,1st,,"$17,000","$3,000","$2,700","Must work 20 hours a week, but Graduate Teachers of Record usually work close to 30 hours."
University of California - Riverside (UCR),Computer Science,"$24,000",1.00,2020-2021,,"$24,000",,,,
Kent State University (KSU),CS ,"$21,000",1.06,2020-2021,,,"$21,000",,,
Massachusetts Institute of Technology (MIT),Chemical ,"$-100,000",-3.58,2022-2023,6th and up,,,,"$100,000",
Massachusetts Institute of Technology (MIT),Chemical ,"$-100,000",-3.58,2022-2023,6th and up,,,,"$100,000",
University of Maryland - College Park (UMD),entomology,"$23,100",0.76,2020-2021,3rd,"$24,000",,,$900,It is difficult with this pay to afford housing and cost of living in this area
University of Pittsburgh,Electrical and Computer Engineering,"$22,000",1.06,2017-2018,2nd,,"$22,000",,,
University of Southern California (USC),Biomedical Engineering,"$34,000",1.31,2020-2021,3rd,"$34,000",,,,
University of California - Davis (UCD),Psychology,"$29,825",1.24,2020-2021,1st,"$30,000",,,$175,"My department just upped the stipend from 27000 to 30000, if you TA both summers."
University of Utah,Political Science ,"$17,000",0.76,2020-2021,2nd,,"$18,000",,"$1,000",We pay 20% of our health insurance (including dental and vision). We also pay little for international fees and occasionally course fees depending on the semester.  
Northeastern University (NU),Civil & Environmental Engineering,"$35,220",1.23,2020-2021,1st,"$35,220",,,,"Student fees are $130 per semester, health fees are $225 per annum."
Northwestern University (NU),Management and Organizations ,"$35,400",1.46,2020-2021,,"$36,000",,,$600,
University of Mumbai,Molecular Immunology and Microbiology,"$417,500",,2017-2018,5th,"$420,000",,,"$2,500",Salary in INR 
Tufts University (TU),Neuroscience,"$52,704",1.89,2020-2021,1st,"$52,704",,,,
University of Virginia (UVA),Psychology,"$24,000",1.05,2020-2021,5th,"$24,000",,,,
Purdue University - West Lafayette,Dept. of CSE,"$3,636",0.17,2020-2021,1st,,"$1,918","$1,918",$200,
Harvard University (HU),Biological and Biomedical Sciences,"$40,000",1.40,2020-2021,4th,"$40,000",,,,
Columbia University (CU),Neurobiology and Behavior,"$42,000",1.41,2020-2021,1st,"$42,000",,,,
Georgia Institute of Technology (Georgia Tech),,"$20,000",0.86,2020-2021,,"$20,000",,,,
Georgia Institute of Technology (Georgia Tech),,"$20,000",0.86,2020-2021,,"$20,000",,,,
University of Oregon,Chemistry,"$25,000",,2019-2020,1st,"$25,000",,,,
North Carolina State University (NCSU),Chemical and Biomolecular Engineering,"$30,000",1.31,2020-2021,2nd,"$35,000",,,"$5,000","The base stipend is 29000, but they pay us the base + the cost of fees + taxes. "
Northwestern University (NU),Physics,"$32,500",1.34,2020-2021,3rd,"$33,000",,,$500,
North Carolina State University (NCSU),forest biomaterials,"$20,500",0.90,2020-2021,3rd,"$23,000",,,"$2,500",
University of Illinois - Urbana- Champaign (UIUC),Mathematics ,"$2,300",0.10,2020-2021,1st,,"$2,300",,,
University of Maryland - College Park (UMD),Clinical Psychology,"$33,400",1.10,2020-2021,2nd,"$35,000",,,"$1,600",
Florida State University (FSU),English/creative writing ,"$14,400",0.62,2020-2021,3rd,,"$15,600",,"$1,200",
McMaster University,Global Health,"$21,000",,2020-2021,1st,"$21,000",,,,
University of Louisville (U of L),Anatomical Science and Neurobiology,"$25,000",1.21,2020-2021,1st,"$25,000",,,,
Northwestern University (NU),Philosophy,"$2,917",0.12,2020-2021,1st,"$3,042",,,$125,
Case Western Reserve University,Biomedical Engineering,"$31,500",1.58,2020-2021,1st,"$31,500",,,,
Case Western Reserve University,Biomedical Engineering,"$31,000",1.55,2020-2021,1st,"$31,000",,,,
University of Southern California (USC),Communication,"$34,000",1.31,2020-2021,3rd,"$34,000",,,,
University of Washington (UW),Sociology,"$26,390",1.13,2020-2021,1st,,"$21,924","$5,000",$534,
Stony Brook University - SUNY,Chemistry,"$29,800",1.07,2020-2021,,"$31,000",,,"$1,200",
Ohio State University (OSU),Biomedical Sciences Graduate Program,"$29,300",1.46,2020-2021,1st,"$29,300",,,,
Princeton University,East Asian Studies,"$35,500",1.40,2020-2021,1st,"$35,500",,,,
University of Texas Health Science Center - San Antonio,Pharmacology/IBMS,"$30,000",1.44,2020-2021,5th,"$30,000",,,,
University of Pennsylvania,Philosophy ,"$7,000",0.29,2019-2020,1st,,"$28,000",,"$21,000",
University of Wisconsin Madison,Statistics,"$21,750",,2020-2021,1st,,"$22,500",,$750,"In addition to the 22500, I received a $3000 bonus for accepting the offer to do my PhD at UW Madison"
Duke University (DU),Neurobiology,"$32,400",1.46,2022-2023,1st,"$32,400",,,,
Rice University,Sociology,"$28,388",1.30,2020-2021,,"$29,000",,,$612,"$48,330 tuition waiver. 
Health insurance: they cover 68% so I pay $813.
Additional research/books/expenses funding.
$1,000 to relocate if needed."
Syracuse University,psychology,"$15,000",0.70,2021-2022,2nd,"$15,000",,,,
University of Chicago (UC),Computer Science,"$36,000",1.48,2020-2021,4th,"$36,000",,,,
Kaust,Chemical engineering,"$30,000",,2020-2021,2nd,"$30,000",,,,
Texas Woman&#39;s University,9,,,2022-2023,3rd,$9,,,$9,9
University of California - Berkeley,metabolic biology,"$38,000",1.37,2020-2021,3rd,"$38,000",,,,
University of Michigan - Ann Arbor (UM),Pharmaceutical Sciences,"$33,000",1.43,2020-2021,4th,"$33,000",,,,
Mayo Clinic ,Clinical and Translational Science track,"$33,383",,2020-2021,1st,"$33,383",,,,Have to pay health insurance and taxes from this. 
Johns Hopkins University (JHU),"Biochemistry, Cellular, and Molecular Biology","$34,222",1.33,2020-2021,4th,"$34,222",,,,
Johns Hopkins University (JHU),"Biochemistry, Cellular, and Molecular Biology","$32,942",1.28,2018-2019,2nd,"$32,942",,,,
University of Pennsylvania,Chemical and Biomolecular Engineering,"$35,000",1.45,2020-2021,2nd,"$35,000",,,,
University of Michigan - Ann Arbor (UM),political science,$800,0.03,2021-2022,5th,$800,,,,
Tennessee Technological University,Mechanical Engineering,"$17,900",0.89,2019-2020,,"$18,000",,,$100,
University of Georgia (UGA),Plant pathology,"$22,500",1.06,2020-2021,2nd,"$24,500",,,"$2,000",
university of miami,economics,"$27,900",,2020-2021,1st,"$28,900",,,"$1,000",
university of miami,economics,"$27,900",,2020-2021,1st,"$28,900",,,"$1,000",
University of California - Riverside (UCR),economic ,"$60,000",2.49,2022-2023,1st,"$80,000",,,"$20,000",
Texas Tech University (TTU),Psychology,$733,0.04,2020-2021,4th,"$1,333",,,$600,
Lehigh university,Physics,"$30,000",,2020-2021,1st,"$30,000",,,,
University of Rochester (UR),Nursing ,"$25,000",1.17,2020-2021,3rd,"$28,000",,,"$3,000",
Duke University (DU),Biomedical engineering ,"$-30,000",-1.35,2020-2021,1st,"$32,000",,,"$62,000",
University of Georgia (UGA),Human Development & Family Science,"$23,293",1.10,2020-2021,1st,"$24,743",,,"$1,450",from a competitive scholarship
Northwestern University (NU),Music Theory,"$33,379",1.38,2020-2021,2nd,"$33,504",,,$125,
Ohio University (OU),Civil Engineering,"$13,275",0.63,2020-2021,2nd,"$17,875",,,"$4,600",MS Stipend
Ohio University (OU),Civil Engineering,"$13,275",0.63,2020-2021,2nd,"$17,875",,,"$4,600",
Ohio University (OU),Civil Engineering,$970,0.05,2020-2021,2nd,"$1,490",,,$520,
University of California - Davis (UCD),Integrative Genetics Genomics,"$2,500",0.10,2020-2021,3rd,"$2,500",,,,
University of California - Davis (UCD),Materials Science and Engineering,"$30,000",1.25,2020-2021,2nd,"$30,000",,,,
University of California - Davis (UCD),Materials Science and Engineering,"$2,500",0.10,2020-2021,2nd,"$2,500",,,,
University of Georgia (UGA),Marine Sciences,"$26,000",1.23,2020-2021,,"$26,000",,,,"W/ fees, stipend is $22,699. Stipends vary depending on the department. Fees are an estimate for one class. The mandatory instructional fees are ~$225 per class; research hrs count towards instructional fees. So fees w/ additional classes would add ~ $225 per class."
University of Georgia (UGA),Marine Sciences,"$22,699",1.07,2020-2021,,"$26,000",,,"$3,301",Stipends vary depending on the department. Fees are an estimate for one class. The mandatory instructional fees are ~$225 per class; research hrs count towards instructional fees. So fees w/ additional classes would add ~ $225 per class. 
University of Pennsylvania,School of social policy & practice,"$30,345",1.26,2020-2021,1st,,"$30,345",,,
University of Iowa (UI),Music - Performance,"$10,032",0.45,2020-2021,4th,,"$10,032",,,
Northern Arizona University (NAU),School of Earth and Sustainability - MS,"$12,084",0.52,2020-2021,5th,,"$13,500",,"$1,416","$13,500 is the standard MS salary. It is up to your advisor/their funds whether you get paid over the summer (which is additional to the $13,500, if available). You are responsible for paying fees, which increase over time and are now at ~$700/semester. Any course fees are on top of that baseline, and it's important to know that many of the graduate Geology field trip classes have $100 fees."
Northern Arizona University (NAU),School of Earth and Sustainability,"$18,584",0.79,2020-2021,5th,,"$20,000",,"$1,416","$20,000 is the standard PhD salary. It is up to your advisor/their funds whether you get paid over the summer (which is additional to the $20,000, if available). You are responsible for paying fees, which increase over time and are now at ~$700/semester. Any course fees are on top of that baseline, and it's important to know that many of the graduate Geology field trip classes have $100 fees."
Northern Arizona University (NAU),School of Earth and Sustainability,"$18,584",0.79,2020-2021,5th,,"$20,000",,"$1,416","$20,000 is the standard PhD salary. It is up to your advisor/their funds whether you get paid over the summer (which is additional to the $20,000, if available). You are responsible for paying fees, which increase over time and are now at ~$700/semester. Any course fees are on top of that baseline, and it's important to know that many of the graduate Geology field trip classes have $100 fees."
University of Chicago (UC),Physics,"$35,000",1.44,2020-2021,2nd,,"$30,000","$5,000",,
,economics,"$22,000",,2020-2021,1st,"$22,000",,,,
Clemson University (CU),Plant and Environmental Science,"$20,000",0.96,2020-2021,1st,"$20,000",,,,
,EECS,"$45,165",,2020-2021,1st,,"$27,099","$18,066",,
University of California - Berkeley,EECS,"$9,033",0.33,2020-2021,1st,,"$3,011","$6,022",,
Ohio University (OU),Clinical Psychology,"$16,442",0.78,2020-2021,5th,,"$17,000",,$558,Health insurance through the school is an additional $1268 per semester but provides very good coverage. Supplemental funding is often available to students who want to teach another class or pick up a part-time assistantship over the summer (I've gotten up to $3200 over the summer before.)
University of Georgia (UGA),Pharmaceutical & Biomedical Sciences,"$26,000",1.23,2020-2021,2nd,"$30,000",,,"$4,000","Around $4000 goes in mandatory student fees, health insurance, and other compulsory deductions that happen every year. "
University of California - San Diego (UCSD),CSE,"$37,755",1.43,2020-2021,3rd,,"$22,977","$14,778",,
Kent State University (KSU),Biological Sciences ,"$24,000",1.21,2020-2021,4th,"$24,000",,,,"Tuition covered, health care subsidized but still $800 a year. "
Kent State University (KSU),Biological Sciences ,"$24,000",1.21,2020-2021,4th,"$24,000",,,,"Tuition covered, health care subsidized but still $800 a year. "
Cold Spring Harbor Laboratory (CSHL),,"$35,000",,2020-2021,6th and up,"$35,000",,,,
Northwestern University (NU),,"$2,400",0.10,2020-2021,,"$2,500",,,$100,
University College London,Economics,"$9,026",,2020-2021,6th and up,"$9,026",,,,Fixed scholarship for who teaches and does not have another scholarship
University College London,Economics,"$2,579",,2020-2021,5th,"$2,579",,,,Fixed scholarship for who teaches and has another scholarship
University College London,Economics,,,2020-2021,4th,,,,,
University College London,Economics,"$24,883",,2020-2021,3rd,"$24,883",,,,"This was an ESRC scholarship, that the department helped me to get. 
Only around 20% of the cohort has such scholarship"
University College London,Economics,"$24,883",,2020-2021,2nd,"$24,883",,,,"This was an ESRC scholarship, that the department helped me to get. 
Only around 20% of the cohort has such scholarship"
